DateTime,Air temperature | (°C),Power generated by system | (MW),Pressure | (atm),Wind speed | (m/s)
2019-01-01 01:00:00,10.926,33.6881,0.979103,9.014
2019-01-01 02:00:00,9.919,37.2619,0.979566,9.428
2019-01-01 03:00:00,8.567,30.5029,0.979937,8.7
2019-01-01 04:00:00,7.877,28.4192,0.980053,8.481
2019-01-01 05:00:00,7.259,27.3703,0.979867,8.383
2019-01-01 06:00:00,6.57,25.8059,0.979884,8.256
2019-01-01 07:00:00,5.897,11.5468,0.980318,6.476
2019-01-01 08:00:00,5.109,8.36076,0.980597,5.906
2019-01-01 09:00:00,4.413,6.42664,0.980711,5.557
2019-01-01 10:00:00,3.754,9.34945,0.980902,6.081
2019-01-01 11:00:00,3.169,18.6136,0.981166,7.384
2019-01-01 12:00:00,2.637,35.3811,0.981347,9.072
2019-01-01 13:00:00,1.948,17.3315,0.981703,7.142
2019-01-01 14:00:00,2.296,19.8723,0.982196,7.451
2019-01-01 15:00:00,4.042,8.19046,0.982576,5.764
2019-01-01 16:00:00,5.504,8.7318,0.982961,5.887
2019-01-01 17:00:00,6.217,8.57877,0.983083,5.866
2019-01-01 18:00:00,6.74,11.03,0.983409,6.266
2019-01-01 19:00:00,7.25,11.0884,0.983824,6.278
2019-01-01 20:00:00,7.579,11.2202,0.984266,6.311
2019-01-01 21:00:00,7.612,14.6931,0.984686,6.864
2019-01-01 22:00:00,7.139,15.0647,0.985268,6.904
2019-01-01 23:00:00,5.44,16.2475,0.986055,7.024
2019-01-02 00:00:00,4.506,34.74,0.986852,9.013
2019-01-02 01:00:00,3.621,35.3936,0.987624,9.166
2019-01-02 02:00:00,2.707,35.2784,0.988206,9.128
2019-01-02 03:00:00,2.043,43.5828,0.988741,9.849
2019-01-02 04:00:00,1.268,42.3415,0.988973,9.738
2019-01-02 05:00:00,0.357,40.3467,0.989072,9.544
2019-01-02 06:00:00,-0.702,42.2588,0.989481,9.712
2019-01-02 07:00:00,-0.28,45.5699,0.989868,10.046
2019-01-02 08:00:00,-0.126,41.6162,0.990032,9.75
2019-01-02 09:00:00,-0.215,42.9783,0.990204,9.874
2019-01-02 10:00:00,-0.281,41.3066,0.990265,9.755
2019-01-02 11:00:00,-0.478,39.9035,0.990621,9.614
2019-01-02 12:00:00,-0.631,40.5643,0.990962,9.616
2019-01-02 13:00:00,-0.747,42.8628,0.991278,9.817
2019-01-02 14:00:00,0.001,37.0646,0.991638,9.215
2019-01-02 15:00:00,2.156,16.0518,0.991861,6.991
